TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,FRANCIS AVENUE 14 ,4,12-8-2017,190000
Liverpool,FRANCIS AVENUE 86 ,2,2-4-2009,162500
Liverpool,FRANCIS AVENUE 86 ,2,9-22-2017,360000
Liverpool,GRANGE ROAD 15 ,2,3-8-2010,195000
Liverpool,GRANGE ROAD 15 ,2,6-7-2017,300000
Liverpool,GREEN LANE 177 ,3,7-8-2011,160000
Liverpool,GREEN LANE 177 ,3,10-17-2011,185000
Liverpool,GREEN LANE 177 ,3,2-2-2017,270000
Liverpool,GREEN LANE 40 ,2,2-12-2018,292500
Liverpool,GREEN LANE 40 ,2,4-26-2018,375000
Liverpool,HAINAULT STREET SPECTRUM TOWER 2 - 20 FLAT 9,2,1-31-2017,261000
Liverpool,HAINAULT STREET SPECTRUM TOWER 2 - 20 FLAT 9,2,1-31-2017,261000
Liverpool,HAMPTON ROAD 160 ,2,2-27-2015,285000
Liverpool,HAMPTON ROAD 160 ,2,11-15-2017,370000
Liverpool,HAMPTON ROAD 241 ,2,1-19-2012,116250
Liverpool,HAMPTON ROAD 241 ,2,12-18-2017,200000
Liverpool,HARVEY ROAD 45 ,2,2-12-2015,247500
Liverpool,HARVEY ROAD 45 ,2,10-20-2017,330000
Liverpool,HENLEY ROAD 156 ,2,8-11-2017,310000
Liverpool,HENLEY ROAD 156 ,2,10-24-2017,358000
Liverpool,HENLEY ROAD 168 ,2,1-10-2008,249995
Liverpool,HENLEY ROAD 168 ,2,6-16-2017,390000
Liverpool,HENLEY ROAD 174 ,2,1-9-2009,170000
Liverpool,HENLEY ROAD 174 ,2,6-9-2017,390000
Liverpool,HENLEY ROAD 259 ,2,4-8-2008,260000
Liverpool,HENLEY ROAD 259 ,2,11-24-2017,285000
Liverpool,HENLEY ROAD 39 ,2,1-15-2016,220000
Liverpool,HENLEY ROAD 39 ,2,7-26-2017,370000
Liverpool,HICKLING ROAD 15 ,2,2-5-2016,350000
Liverpool,HICKLING ROAD 15 ,2,5-12-2017,410000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1008,2,2-25-2010,224000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1008,2,2-24-2017,250000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1208,2,4-9-2010,167500
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1208,2,4-27-2017,250000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1901,3,3-30-2010,220000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1901,3,9-11-2013,225000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 1901,3,1-19-2018,340000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 412,2,3-2-2010,227500
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 412,2,1-19-2018,250000
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 703,2,5-28-2010,147500
Liverpool,HIGH ROAD RAPHAEL HOUSE 250 FLAT 703,2,5-19-2017,253000
Liverpool,HIGHLANDS GARDENS 18 ,2,5-31-2012,320000
Liverpool,HIGHLANDS GARDENS 18 ,2,11-7-2017,685000
Liverpool,HOWARD ROAD 1 ,2,8-6-2010,207500
Liverpool,HOWARD ROAD 1 ,2,5-22-2017,220000
Liverpool,HYACINTH CLOSE BERBERIS COURT FLAT 8,2,2-11-2008,168500
Liverpool,HYACINTH CLOSE BERBERIS COURT FLAT 8,2,7-24-2017,245000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 59,2,5-29-2009,290000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 59,2,4-27-2017,335000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 77,2,5-27-2009,210000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 77,2,4-27-2018,365000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 94,2,5-27-2009,258000
Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 94,2,10-18-2017,328000
Liverpool,INGLEBY ROAD 13 ,2,7-22-2014,162000
Liverpool,INGLEBY ROAD 13 ,2,1-25-2017,245000
Liverpool,INGLEBY ROAD 14B ,2,5-12-2014,182000
Liverpool,INGLEBY ROAD 14B ,2,10-18-2017,332000
Liverpool,INGLEBY ROAD 47 FLAT A,2,11-28-2008,195000
Liverpool,INGLEBY ROAD 47 FLAT A,2,8-25-2017,357000
